Station,Year,Month,Day,date,station,year,month,Mean Wind Speed (km/h),Max Wind Speed (km/h),StationType,StationName,geometry
Paya Lebar,2020,5,23,2020-05-23,S06,2020,5,4.6,18.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,24,2020-05-24,S06,2020,5,4.6,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,25,2020-05-25,S06,2020,5,5.3,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,26,2020-05-26,S06,2020,5,5.6,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,27,2020-05-27,S06,2020,5,3.5,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,28,2020-05-28,S06,2020,5,5.9,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,29,2020-05-29,S06,2020,5,4.2,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,30,2020-05-30,S06,2020,5,4.5,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,5,31,2020-05-31,S06,2020,5,6.9,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,1,2020-06-01,S06,2020,6,6.7,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,2,2020-06-02,S06,2020,6,4.4,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,3,2020-06-03,S06,2020,6,6.6,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,4,2020-06-04,S06,2020,6,9,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,5,2020-06-05,S06,2020,6,12,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,6,2020-06-06,S06,2020,6,5.2,20.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,7,2020-06-07,S06,2020,6,5.6,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,8,2020-06-08,S06,2020,6,3.5,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,9,2020-06-09,S06,2020,6,8.6,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,10,2020-06-10,S06,2020,6,9.2,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,11,2020-06-11,S06,2020,6,4.1,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,12,2020-06-12,S06,2020,6,6.1,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,13,2020-06-13,S06,2020,6,7.3,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,14,2020-06-14,S06,2020,6,6.1,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,15,2020-06-15,S06,2020,6,7.3,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,16,2020-06-16,S06,2020,6,5,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,17,2020-06-17,S06,2020,6,4.6,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,18,2020-06-18,S06,2020,6,5.1,20.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,19,2020-06-19,S06,2020,6,8.4,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,20,2020-06-20,S06,2020,6,6.1,42.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,21,2020-06-21,S06,2020,6,6.4,35.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,22,2020-06-22,S06,2020,6,6.3,42.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,23,2020-06-23,S06,2020,6,8.5,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,24,2020-06-24,S06,2020,6,9.5,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,25,2020-06-25,S06,2020,6,7,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,26,2020-06-26,S06,2020,6,8.4,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,27,2020-06-27,S06,2020,6,9.8,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,28,2020-06-28,S06,2020,6,10.3,37,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
